8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD 2;A1395;iOS;APPLE;iPad2,3;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M2075073:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD 2 A1396;A1396;iOS;APPLE;iPad2,3;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M4359342:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD 2 A1397;A1397;iOS;APPLE;iPad2,3;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M257347:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD 3;A1416;iOS;APPLE;iPad3,2;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M730234:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD 3 A1403;A1403;iOS;APPLE;iPad3,2;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M7948214:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD 3 A1430;A1430;iOS;APPLE;iPad3,2;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M1104024:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD 4;A1458;iOS;APPLE;iPad3,5;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M8679143:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD 4 A1459;A1459;iOS;APPLE;iPad3,5;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M3431274:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD 4 A1460;A1460;iOS;APPLE;iPad3,5;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M73832:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD AIR;A1474;iOS;APPLE;iPad4,2;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M6930267:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD AIR 2;A1566;iOS;APPLE;iPad4,2;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M7147426:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD AIR 2 A1567;A1567;iOS;APPLE;iPad4,2;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M6021013:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD AIR A1475;A1475;iOS;APPLE;iPad4,2;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M6475908:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD AIR A1476;A1476;iOS;APPLE;iPad4,2;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M4577501:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD MINI 2;A1489;iOS;APPLE;iPad4,5;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M4024447:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD MINI 2 A1490;A1490;iOS;APPLE;iPad4,5;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M420477:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD MINI 2 A1491;A1491;iOS;APPLE;iPad4,5;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M246492:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD MINI 3;A1599;iOS;APPLE;iPad4,8;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M1772613:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD MINI 3 A1600;A1600;iOS;APPLE;iPad4,8;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M2865802:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD MINI 3 A1601;A1601;iOS;APPLE;iPad4,8;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M7326455:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD MINI 4;A1550;iOS;APPLE;iPad4,8;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M2845334:user/release-keys
8525f6d8251f71b7;unknown;iBoot;APPLE;IPAD MINI 4 WI-FI;A1538;iOS;APPLE;iPad5,2;apple;release-keys;user;apple/apple/unknown_6.0.1/MMB29M3556066:user/release-keys
